country,2019-20,2020-21,2021-22,2022-23
Tanzania,21,716,108,1
Thailand,60,21520,12014,923
Timor-Leste,,122,16,
Togo,68,178,44,
Tokelau,,,,
Tonga,,,12,
Trinidad and Tobago,125,2593,1559,113
Tunisia,4426,21097,3756,144
Turkmenistan,,,,
Turks and Caicos Islands,6,20,10,4
Tuvalu,,,,1
Uganda,298,2982,350,2
Ukraine,15278,77255,15716,1669
United Arab Emirates,655,1501,192,1
USA,342920,469667,267389,84368
Uruguay,143,6019,1400,98
Uzbekistan,,860,156,
Vanuatu,,,14,
Venezuela,1010,4302,518,26
Vietnam,35,31179,11970,22
"Virgin Islands, United States",23,65,39,5
Wallis and Futuna,,7,,1
Yemen,607,1376,176,
Zambia,382,3315,325,47
Zimbabwe,341,4544,750,96
