Country Name,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,1941.581898,2027.833976,2122.502619,2168.913442,2252.543316,2234.909473,2333.353122,2430.306921
Croatia,12098.51203,12617.30604,13203.81924,13698.0548,14242.45567,13075.34717,15524.74339,16610.31809
Cuba,7683.740254,7721.70357,7865.338609,8047.941031,8043.014197,7172.517928,7291.037772,7449.68288
Curacao,19361.81296,18953.05386,18651.4797,18355.17658,17980.52979,14974.32548,15864.76525,17387.2854
Cyprus,23408.44141,24805.3125,26013.94922,27161.52344,28360.35938,27089.88281,29498.70898,30571.55078
Czechia,17829.69832,18247.01173,19139.23988,19689.5827,20206.42564,19048.08685,20085.51607,20237.29455
Denmark,53254.85637,54556.06895,55735.7649,56563.48847,57203.02779,55653.58745,59205.64669,60345.55732
Djibouti,2409.311902,2538.054019,2632.913333,2714.351648,2820.062866,2814.826221,2901.137113,2950.946475
Dominica,7724.042411,7929.805284,7370.433117,7586.646141,7936.304818,6566.427357,6978.470497,7339.695107
Dominican Republic,6838.936746,7209.990202,7461.653269,7894.955192,8205.142592,7571.78282,8410.605843,8732.080739
East Asia & Pacific (IDA & IBRD countries),6572.915168,6951.962028,7361.883831,7791.130495,8195.048398,8257.981264,8855.418594,9134.30807
Ecuador,6130.586676,5965.643273,6012.803317,5976.245345,5863.910566,5331.976611,5492.489271,5590.541634
"Egypt, Arab Rep.",3370.382447,3444.268262,3517.587895,3635.420582,3769.03577,3835.784215,3896.842853,4088.897045
El Salvador,3761.51368,3845.022493,3922.776862,4011.539979,4103.824501,3775.57609,4183.259298,4276.955245
Equatorial Guinea,9788.983804,8594.450219,7818.05359,7079.650526,6472.070883,5995.905845,5870.40139,5945.201681
Eritrea,,,,,,,,
Estonia,17402.03761,17945.94496,18962.4103,19611.61099,20269.57514,20118.10507,21707.24075,21143.29136
Eswatini,3583.31129,3594.167067,3638.768782,3696.35985,3766.062999,3672.653346,4025.410852,4012.954495
Ethiopia,630.3126194,671.2905759,715.7487347,744.3675203,785.484972,811.2555399,834.9912914,857.3154856
Euro area,34117.72416,34656.72158,35497.09328,36050.20368,36584.84796,34306.50955,36354.99091,37436.23236
Europe & Central Asia (IDA & IBRD countries),8020.645993,8130.232712,8442.610334,8719.168186,8914.008643,8751.422367,9373.722763,9631.03632
European Union,30487.15617,31022.32321,31854.89087,32455.94929,33014.74086,31126.38019,33035.29323,34158.98003
Faroe Islands,52726.68738,52762.42872,53822.9099,54506.38707,56099.96896,54248.5498,56856.68539,59699.20083
Fiji,5105.189612,5223.376039,5499.122255,5708.910971,5679.051881,4701.331508,4451.602644,5313.028471
Finland,42801.90812,43878.96673,45173.62941,45627.91989,46135.88142,44984.73445,46165.68655,46792.75352
